subject_id,modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,weighted_contribution,better_than_baseline
1,voice,dLPC,0.42,0.39505389580681943,-0.1474069071471631,-0.0593954847600612,-0.29697740895143554,0.42629654642641845,0.8,1,0.2,-0.11792552571773048,-0.11792552571773048,True
1,voice,PARCOR,0.55,0.535591687469178,-0.13024064918292155,-0.02619693139791413,-0.2619692877822125,0.4348796754085392,0.77,1,0.1,-0.1002852998708496,-0.1002852998708496,True
1,voice,LPC,0.61,0.5625187614373982,-0.31341268917364584,-0.07783809472823087,-0.648650735347696,0.3432936554131771,0.76,1,0.12,-0.23819364377197083,-0.23819364377197083,True
1,voice,Pitch,120.0,114.30200269181012,-0.6591948822244958,-0.04748331089762542,-1.5827769411974066,0.17040255888775208,0.76,1,0.18,-0.5009881104906169,-0.5009881104906169,True
1,voice,MFCC,0.5,0.45606606349920337,-0.013728491604353077,-0.08786787124423583,-0.027458708356564887,0.49313575419782346,0.75,1,0.2,-0.010296368703264808,-0.010296368703264808,True
1,eye,fixation_duration,0.22,0.2684760935801781,0.4919450479126568,0.2203458698941791,1.0772463337992428,0.7459725239563284,1.0,1,0.5,0.4919450479126568,0.4919450479126568,False
1,eye,fixation_count,120.0,127.45081722750159,1.0,0.06209014355733906,82.78685209740154,1.0,0.9,1,0.45,0.9,0.9,False
1,eye,saccade_count,150.0,140.2563421421674,-1.0,-0.06495771904788683,-80.52609286886032,1.0665033349528616e-35,1.0,1,0.55,-1.0,-1.0,True
1,game,score,85.0,72.0,0.6308682594444992,-0.15294117645259517,-1.485714225686437,0.8154341297222496,0.82,-1,0.25,0.5173119727444894,0.5173119727444894,False
1,subjective,fatigue_self,1.0,5.0,0.0,,0.0,,0.0,1,,0.0,0.0,False
1,subjective,sleep_last,7.0,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,-0.0,True
1,subjective,sleep_previous,7.0,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,-0.0,True
