subject_id,modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,weighted_contribution,better_than_baseline
1,voice,dLPC,0.42,0.43282936609235106,0.07621716889821184,0.03054610901640474,0.15273053744549683,0.5381085844491059,0.8,1,0.2,0.060973735118569475,0.060973735118569475,False
1,voice,PARCOR,0.55,0.5838397736344736,0.2982833764502013,0.06152686003491807,0.6152685388223268,0.6491416882251007,0.77,1,0.1,0.22967819986665503,0.22967819986665503,False
1,voice,LPC,0.61,0.5548388625158666,-0.3599110307236185,-0.09042809275385655,-0.7535673768181899,0.32004448463819074,0.76,1,0.12,-0.27353238334995006,-0.27353238334995006,True
1,voice,Pitch,120.0,121.80608831883022,0.2457133607984341,0.015050735988997605,0.5016911715106762,0.622856680399217,0.76,1,0.18,0.1867421542068099,0.1867421542068099,False
1,voice,MFCC,0.5,0.5138042552416752,0.004313802696999103,0.027608509931180133,0.008627658911326271,0.5021569013484996,0.75,1,0.2,0.003235352022749327,0.003235352022749327,False
1,eye,fixation_duration,0.22,0.2264453155385202,0.07149242630299857,0.029296887479778787,0.14322920889997748,0.5357462131514993,1.0,1,0.5,0.07149242630299857,0.07149242630299857,False
1,eye,fixation_count,120.0,106.3631917613523,-1.0,-0.11364006864592752,-151.52008058478623,1.5691523244542977e-66,0.9,1,0.45,-0.9,-0.9,True
1,eye,saccade_count,150.0,158.23657091037796,1.0,0.05491047273219239,68.07082963374762,1.0,1.0,1,0.55,1.0,1.0,False
1,game,score,85.0,65.0,0.8153739270190543,-0.23529411761937719,-2.2857141933637495,0.9076869635095272,0.82,-1,0.25,0.6686066201556244,0.6686066201556244,False
1,subjective,fatigue_self,1.0,5.0,0.0,,0.0,,0.0,1,,0.0,0.0,False
1,subjective,sleep_last,7.0,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,-0.0,True
1,subjective,sleep_previous,7.0,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,-0.0,True
