subject_id,modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,weighted_contribution,better_than_baseline,valid_measurement,measurement_status,valid_range,invalid_reason
3,voice,dLPC,0.12,0.125979483127594,0.07106432297295129,0.049829021910864836,0.14236862996336727,0.5355321614864756,0.8,1,0.35,0.05685145837836103,0.05685145837836103,False,True,included,,
3,voice,PARCOR,0.45,0.43655818700790405,0.06778383836403656,-0.029870694874197797,-0.1357758796201773,0.5338919191820183,0.77,-1,0.22,0.052193555540308155,0.052193555540308155,False,True,included,,
3,voice,Pitch,200.0,217.6489715576172,-0.9997217460738225,0.08824485778367369,8.879984501574269,0.00013912696308876813,0.76,-1,0.075,-0.7597885270161051,-0.7597885270161051,True,True,included,,
3,voice,MFCC,30.0,15.347381591796875,0.9807408290267041,-0.4884206134439639,-4.633238848301989,0.9903704145133521,0.7,-1,0.275,0.6865185803186928,0.6865185803186928,False,True,included,,
3,voice,LPC,1500.0,1558.6219482421875,-0.19295676987642452,0.03908129882786446,0.39081294919734966,0.40352161506178774,0.65,-1,0.1,-0.12542190041967594,-0.12542190041967594,True,True,included,,
3,game,score,72.0,84.0,-0.5952217075487296,0.16666666664351854,1.3714285159891182,0.2023891462256352,0.82,-1,0.25,-0.4880818001899582,-0.4880818001899582,True,True,included,,
3,subjective,fatigue_self,0.0,5.0,0.0,,0.0,,1.0,1,,0.0,0.0,False,True,included,,
3,subjective,sleep_last,7.0,6.0,-0.5,,-0.5,,1.0,-1,,-0.5,-0.5,True,True,included,,
3,subjective,sleep_previous,7.0,6.0,-0.5,,-0.5,,0.8,-1,,-0.4,-0.4,True,True,included,,
3,eye,fixation_duration,0.28036600936790407,42.39544215322881,1.0,150.21462386494255,835.6164426356714,1.0,1.0,1,0.63,1.0,1.0,False,True,included,,
3,eye,saccade_count,191.52262896920035,72.89742311542774,-1.0,-0.6193795818595174,-3802.0893582614885,0.0,0.94,1,0.39,-0.94,-0.94,True,True,included,,
3,eye,fixation_count,144.1988448526657,117.87668418664911,-1.0,-0.1825407179307552,-1342.967141010513,0.0,0.83,1,0.28,-0.83,-0.83,True,True,included,,
