subject_id,modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,weighted_contribution,better_than_baseline,valid_measurement,measurement_status,valid_range,invalid_reason
3,voice,dLPC,0.12,0.1313779503107071,0.13462942269249245,0.09481624468787209,0.27090354851096177,0.5673147113462462,0.8,1,0.35,0.10770353815399397,0.10770353815399397,False,True,included,,
3,voice,PARCOR,0.45,0.3429093360900879,0.4936401174708136,-0.2379792478447103,-1.0817238046703286,0.7468200587354068,0.77,-1,0.22,0.3801028904525265,0.3801028904525265,False,True,included,,
3,voice,Pitch,200.0,255.50906372070312,-0.9999999999985155,0.2775453185896383,27.929084928690994,7.422539729594858e-13,0.76,-1,0.075,-0.7599999999988718,-0.7599999999988718,True,True,included,,
3,voice,MFCC,30.0,13.197473526000977,0.9901945727022723,-0.5600842156132727,-5.313051649892916,0.9950972863511361,0.7,-1,0.275,0.6931362008915906,0.6931362008915906,False,True,included,,
3,voice,LPC,1500.0,1406.50439453125,0.30193922491124625,-0.0623304036454178,-0.6233039741237806,0.6509696124556231,0.65,-1,0.1,0.19626049619231006,0.19626049619231006,False,True,included,,
3,game,score,72.0,47.0,0.8913734558699047,-0.34722222217399695,-2.857142741643996,0.9456867279349523,0.82,-1,0.25,0.7309262338133218,0.7309262338133218,False,True,included,,
3,subjective,fatigue_self,0.0,8.0,0.5555555555555556,,0.5555555555555556,0.7777777777777778,0.78,1,0.4,0.43333333333333335,0.43333333333333335,False,True,included,,
3,subjective,sleep_last,7.0,4.0,-0.0,,-0.0,0.5,0.85,-1,0.375,-0.0,-0.0,False,True,included,,
3,subjective,sleep_previous,7.0,2.0,0.5,,0.5,0.75,0.65,-1,0.25,0.325,0.325,False,True,included,,
3,eye,fixation_duration,0.28036600936790407,46.50406152698071,1.0,164.86910796759858,917.1366539137182,1.0,1.0,1,0.63,1.0,1.0,False,True,included,,
3,eye,saccade_count,191.52262896920035,95.3966365741209,-1.0,-0.5019040982646436,-3080.960830434109,0.0,0.94,1,0.39,-0.94,-0.94,True,True,included,,
3,eye,fixation_count,144.1988448526657,157.21365707415126,1.0,0.09025600887358565,664.0209130872313,1.0,0.83,1,0.28,0.83,0.83,False,True,included,,
